SourceFile	Instrument	SerialNumber	DeconvolutionEngine	StartTimeStamp	RTDuration	mzMLMS1Count	mzMLMSnCount	DeconvMSnWithPeaksCount	DeconvMSnWithoutPeaksCount	DeconvMSnWithPeaksFraction	Redundancy	HighestDegree	LargestComponentSize	ComponentCount	mzMLHCDCount	mzMLCIDCount	mzMLETDCount	mzMLECDCount	mzMLEThcDCount	mzMLETciDCount	mzMLPreZMin	mzMLPreZQ1	mzMLPreZQ2	mzMLPreZQ3	mzMLPreZMax	DeconvPreZMin	DeconvPreZQ1	DeconvPreZQ2	DeconvPreZQ3	DeconvPreZMax	DeconvPreMassMin	DeconvPreMassQ1	DeconvPreMassQ2	DeconvPreMassQ3	DeconvPreMassMax	mzMLPeakCountMin	mzMLPeakCountQ1	mzMLPeakCountQ2	mzMLPeakCountQ3	mzMLPeakCountMax	DeconvPeakCountMin	DeconvPeakCountQ1	DeconvPeakCountQ2	DeconvPeakCountQ3	DeconvPeakCountMax	AALinkCountMin	AALinkCountQ1	AALinkCountQ2	AALinkCountQ3	AALinkCountMax	TagLengthMin	TagLengthQ1	TagLengthQ2	TagLengthQ3	TagLengthMax	AALinkCountAbove2	TagLengthAbove2
LCA_11122018_APA_DS48_CD34_C1F3_1p5E6_01	LTQ FT Ultra	LTQ40421	TopFD	2018-11-12T16:07:04Z	115.03812	2369	1695	1625	70	0.9587021	0.00012050019	9	15	1530	0	1695	0	0	0	0	3	10	13	16	25	0	10	14	17	30	703.15294	11812.03984	15113.60821	17353.17965	36063.25474	262	1749	3412	4704	8388	0	134	229	271	395	0	4	11	26	251	0	1	2	5	20	1261	720
LCA_11122018_APA_DS48_CD34_C1F3_3E6_02	LTQ FT Ultra	LTQ40421	TopFD	2018-11-12T18:15:45Z	115.04865	2156	1315	1278	37	0.9718631	0.00040931223	14	22	1122	0	1315	0	0	0	0	4	11	13	16	25	0	11	13	16	30	708.82294	11977.87122	15103.89712	17197.81445	31016.05047	257	3831	5902	7208	10000	0	205	261	290	452	0	12	28	53	302	0	2	4	7	22	1138	888
LCA_11122018_APA_DS48_CD34_C1F4_1p5E6_01	LTQ FT Ultra	LTQ40421	TopFD	2018-11-12T11:49:34Z	115.09103	2323	1558	1495	63	0.95956355	5.4622054E-05	7	8	1456	0	1558	0	0	0	0	4	11	14	17	25	0	11	16	19	30	709.21197	13040.2178	17465.83491	20576.85931	39421.44161	268	950	2329	4464	8769	0	58	196	282	446	0	1	6	18	387	0	1	1	3	19	926	493
LCA_11122018_APA_DS48_CD34_C1F4_3E6_02	LTQ FT Ultra	LTQ40421	TopFD	2018-11-12T13:58:20Z	115.11338	2084	1186	1141	45	0.96205735	0.0003029045	8	15	1025	0	1186	0	0	0	0	4	12	15	18	25	0	12	16	19	30	709.21198	13180.6734	17746.59187	20645.2067	33226.66213	235	2483	5332	7024	10000	0	178	286	330	483	0	6	22	50	489	0	1	3	6	21	948	691
LCA_11132018_APA_DS48_CD34_C1F1_1p5E6_LONGGradient	LTQ FT Ultra	LTQ40421	TopFD	2018-11-13T09:35:16Z	164.9813	2945	2568	2492	76	0.970405	0.002316848	133	215	2045	0	2568	0	0	0	0	3	7	9	11	19	0	7	9	11	28	702.01716	7431.67007	10084.31148	11506.84414	38125.13834	233	2447	3708	4658	8345	0	128	170	203	497	0	10	27	52	303	0	2	4	7	27	2205	1770
LCA_11132018_APA_DS48_CD34_C1F2_1p5E6_LONGGradient	LTQ FT Ultra	LTQ40421	TopFD	2018-11-13T12:35:06Z	155.01488	2761	2243	2159	84	0.96255016	0.0015277556	97	141	1884	0	2243	0	0	0	0	3	8	10	13	21	0	8	11	13	30	714.03099	9302.8337	11435.67274	13920.03164	36173.30148	242	1631	3213	4671	8661	0	105	180	232	466	0	4	14	38	272	0	1	3	6	20	1688	1194
LCA_11132018_APA_DS48_CD34_C1F3_2E6_LONGGradient	LTQ FT Ultra	LTQ40421	TopFD	2018-11-13T15:24:45Z	161.00377	2329	2176	2109	67	0.96920955	0.00016645028	18	32	1943	0	2176	0	0	0	0	3	10	12	15	25	0	10	13	16	30	705.01599	11093.59907	14831.42094	16973.00729	34080.88421	264	2833	4483	5711	9490	0	167	244	275	430	0	6	16	35	286	0	1	3	5	22	1770	1171
LCA_11132018_APA_DS48_CD34_C1F4_3E6_LONGGradient	LTQ FT Ultra	LTQ40421	TopFD	2018-11-13T18:19:30Z	144.95181	2275	1461	1406	55	0.96235454	0.00016199004	7	12	1301	0	1461	0	0	0	0	3	11	14	17	25	0	11	15	19	29	701.08303	12405.38402	17222.66705	20177.59025	36999.16435	245	2902	5025	6711	10000	0	182	280	326	448	0	7	20	43	252	0	1	3	6	20	1208	843
LCA_11132018_APA_DS48_CD34_C1F5_01	LTQ FT Ultra	LTQ40421	TopFD	2018-11-13T23:07:52Z	115.09063	2057	1113	1080	33	0.9703504	8.75296E-05	5	9	1046	0	1113	0	0	0	0	3	10	16	19	25	0	11	18	22	30	701.08302	12681.2888	20970.63814	23904.44548	38954.46401	421	5368	10000	10000	10000	0	191	346	392	526	0	6	16	29	217	0	1	2	4	23	901	482
LCA_11132018_APA_DS48_CD34_C1F5_02	LTQ FT Ultra	LTQ40421	TopFD	2018-11-14T01:16:32Z	115.10669	2070	1123	1096	27	0.9759573	7.6659E-05	4	6	1063	0	1123	0	0	0	0	3	10	16	19	25	0	12	19	22	30	701.08308	13693.5407	21141.63276	23628.59642	38144.16932	443	6756	10000	10000	10000	0	221	350	393	526	0	7	16	31	173	0	1	2	4	19	935	496
LCA_11132018_APA_DS48_CD34_C1F6_01_4uSMS1	LTQ FT Ultra	LTQ40421	TopFD	2018-11-14T03:25:14Z	114.95451	2107	1158	1131	27	0.9766839	3.4427987E-05	5	7	1118	0	1158	0	0	0	0	3	7	11	19	25	0	10	19	24	30	716.04614	12309.54966	22900.5716	26544.99641	38450.86571	397	6615	10000	10000	10000	0	192	367	430	572	0	4	10	20	166	0	1	2	3	18	919	317
LCA_11132018_APA_DS48_CD34_C1F6_02_8uSMS1_2uSMS2	LTQ FT Ultra	LTQ40421	TopFD	2018-11-14T05:33:57Z	114.928085	2013	588	569	19	0.9676871	0.00032179014	6	7	535	0	588	0	0	0	0	3	8	17	20	25	0	12	20	25	30	740.18815	13912.85046	24405.0549	27769.74625	39555.53531	471	8082	10000	10000	10000	0	205	392	454	570	0	8	18	36	215	0	1	2	4	19	490	268
LCA_11142018_APA_DS47_mono_F7p3_01_8uSMS1_2uSMS2	LTQ FT Ultra	LTQ40421	TopFD	2018-11-14T22:30:09Z	115.21041	1676	534	513	21	0.96067417	0.00017513402	6	7	501	0	534	0	0	0	0	3	7	8	12	22	0	6	14	22	30	707.03196	7129.82114	16004.30473	26144.484	40205.02211	408	1975	5011	10000	10000	0	71	163	302	557	0	0	4	12	119	0	0	1	2	21	288	115
LCA_11142018_APA_DS47_mono_F7p3_02_8uSMS1_2uSMS2	LTQ FT Ultra	LTQ40421	TopFD	2018-11-15T00:38:49Z	115.21182	1661	531	516	15	0.9717514	0.00012041845	4	5	505	0	531	0	0	0	0	3	6	8	13	24	0	7	16	23	30	740.18868	8885.83677	19128.76743	26946.23171	41086.85591	413	2274	5748	10000	10000	0	91	188	342	561	0	1	4	11	151	0	1	1	2	16	298	108
